icp_number,meter_serial_number,channel_number,started_at,ended_at,value,unit_code,status
0005045312RN131,208211246,1,23/12/2020 10:30,23/12/2020 10:59,0.007,kWh,validated
0005045312RN131,208211246,1,23/12/2020 11:00,23/12/2020 11:29,0.006,kWh,validated
0005045312RN131,208211246,1,23/12/2020 11:30,23/12/2020 11:59,0.160,kWh,validated
0005045312RN131,208211246,1,23/12/2020 12:00,23/12/2020 12:29,0.264,kWh,validated
0005045312RN131,208211246,1,23/12/2020 12:30,23/12/2020 12:59,0.068,kWh,validated
0005045312RN131,208211246,1,23/12/2020 13:00,23/12/2020 13:29,0.054,kWh,validated
0005045312RN131,208211246,1,23/12/2020 13:30,23/12/2020 13:59,0.031,kWh,validated
0005045312RN131,208211246,1,23/12/2020 14:00,23/12/2020 14:29,0.039,kWh,validated
0005045312RN131,208211246,1,23/12/2020 14:30,23/12/2020 14:59,0.039,kWh,validated
0005045312RN131,208211246,1,23/12/2020 15:00,23/12/2020 15:29,0.172,kWh,validated
0005045312RN131,208211246,1,23/12/2020 15:30,23/12/2020 15:59,0.058,kWh,validated
0005045312RN131,208211246,1,23/12/2020 16:00,23/12/2020 16:29,0.030,kWh,validated
0005045312RN131,208211246,1,23/12/2020 16:30,23/12/2020 16:59,0.064,kWh,validated
0005045312RN131,208211246,1,23/12/2020 17:00,23/12/2020 17:29,0.216,kWh,validated
0005045312RN131,208211246,1,23/12/2020 17:30,23/12/2020 17:59,0.070,kWh,validated
0005045312RN131,208211246,1,23/12/2020 18:00,23/12/2020 18:29,0.027,kWh,validated
0005045312RN131,208211246,1,23/12/2020 18:30,23/12/2020 18:59,1.014,kWh,validated
0005045312RN131,208211246,1,23/12/2020 19:00,23/12/2020 19:29,1.093,kWh,validated
0005045312RN131,208211246,1,23/12/2020 19:30,23/12/2020 19:59,0.739,kWh,validated
0005045312RN131,208211246,1,23/12/2020 20:00,23/12/2020 20:29,0.214,kWh,validated
0005045312RN131,208211246,1,23/12/2020 20:30,23/12/2020 20:59,0.100,kWh,validated
0005045312RN131,208211246,1,23/12/2020 21:00,23/12/2020 21:29,0.104,kWh,validated
0005045312RN131,208211246,1,23/12/2020 21:30,23/12/2020 21:59,0.116,kWh,validated
