icp_number,meter_serial_number,channel_number,started_at,ended_at,value,unit_code,status
0005171784RN098,208229290,1,13/02/2018 00:30,13/02/2018 00:59,0.210,kWh,validated
0005171784RN098,208229290,1,13/02/2018 01:00,13/02/2018 01:29,0.199,kWh,validated
0005171784RN098,208229290,1,13/02/2018 01:30,13/02/2018 01:59,0.122,kWh,validated
0005171784RN098,208229290,1,13/02/2018 02:00,13/02/2018 02:29,0.158,kWh,validated
0005171784RN098,208229290,1,13/02/2018 02:30,13/02/2018 02:59,0.168,kWh,validated
0005171784RN098,208229290,1,13/02/2018 03:00,13/02/2018 03:29,0.195,kWh,validated
0005171784RN098,208229290,1,13/02/2018 03:30,13/02/2018 03:59,0.134,kWh,validated
0005171784RN098,208229290,1,13/02/2018 04:00,13/02/2018 04:29,0.139,kWh,validated
0005171784RN098,208229290,1,13/02/2018 04:30,13/02/2018 04:59,0.141,kWh,validated
0005171784RN098,208229290,1,13/02/2018 05:00,13/02/2018 05:29,0.787,kWh,validated
0005171784RN098,208229290,1,13/02/2018 05:30,13/02/2018 05:59,0.186,kWh,validated
0005171784RN098,208229290,1,13/02/2018 06:00,13/02/2018 06:29,0.115,kWh,validated
0005171784RN098,208229290,1,13/02/2018 06:30,13/02/2018 06:59,0.932,kWh,validated
0005171784RN098,208229290,1,13/02/2018 07:00,13/02/2018 07:29,1.076,kWh,validated
0005171784RN098,208229290,1,13/02/2018 07:30,13/02/2018 07:59,0.222,kWh,validated
0005171784RN098,208229290,1,13/02/2018 08:00,13/02/2018 08:29,0.159,kWh,validated
0005171784RN098,208229290,1,13/02/2018 08:30,13/02/2018 08:59,0.392,kWh,validated
0005171784RN098,208229290,1,13/02/2018 09:00,13/02/2018 09:29,0.278,kWh,validated
0005171784RN098,208229290,1,13/02/2018 09:30,13/02/2018 09:59,1.218,kWh,validated
0005171784RN098,208229290,1,13/02/2018 10:00,13/02/2018 10:29,1.388,kWh,validated
0005171784RN098,208229290,1,13/02/2018 10:30,13/02/2018 10:59,1.344,kWh,validated
0005171784RN098,208229290,1,13/02/2018 11:00,13/02/2018 11:29,1.213,kWh,validated
0005171784RN098,208229290,1,13/02/2018 11:30,13/02/2018 11:59,1.177,kWh,validated
0005171784RN098,208229290,1,13/02/2018 12:00,13/02/2018 12:29,1.176,kWh,validated
0005171784RN098,208229290,1,13/02/2018 12:30,13/02/2018 12:59,1.204,kWh,validated
0005171784RN098,208229290,1,13/02/2018 13:00,13/02/2018 13:29,1.406,kWh,validated
0005171784RN098,208229290,1,13/02/2018 13:30,13/02/2018 13:59,0.827,kWh,validated
0005171784RN098,208229290,1,13/02/2018 14:00,13/02/2018 14:29,0.235,kWh,validated
0005171784RN098,208229290,1,13/02/2018 14:30,13/02/2018 14:59,0.272,kWh,validated
0005171784RN098,208229290,1,13/02/2018 15:00,13/02/2018 15:29,0.210,kWh,validated
0005171784RN098,208229290,1,13/02/2018 15:30,13/02/2018 15:59,0.210,kWh,validated
0005171784RN098,208229290,1,13/02/2018 16:00,13/02/2018 16:29,0.167,kWh,validated
0005171784RN098,208229290,1,13/02/2018 16:30,13/02/2018 16:59,0.260,kWh,validated
0005171784RN098,208229290,1,13/02/2018 17:00,13/02/2018 17:29,0.262,kWh,validated
0005171784RN098,208229290,1,13/02/2018 17:30,13/02/2018 17:59,0.881,kWh,validated
0005171784RN098,208229290,1,13/02/2018 18:00,13/02/2018 18:29,0.998,kWh,validated
0005171784RN098,208229290,1,13/02/2018 18:30,13/02/2018 18:59,0.679,kWh,validated
0005171784RN098,208229290,1,13/02/2018 19:00,13/02/2018 19:29,1.210,kWh,validated
0005171784RN098,208229290,1,13/02/2018 19:30,13/02/2018 19:59,1.578,kWh,validated
0005171784RN098,208229290,1,13/02/2018 20:00,13/02/2018 20:29,1.012,kWh,validated
0005171784RN098,208229290,1,13/02/2018 20:30,13/02/2018 20:59,0.857,kWh,validated
0005171784RN098,208229290,1,13/02/2018 21:00,13/02/2018 21:29,1.294,kWh,validated
0005171784RN098,208229290,1,13/02/2018 21:30,13/02/2018 21:59,0.772,kWh,validated
0005171784RN098,208229290,1,13/02/2018 22:00,13/02/2018 22:29,1.062,kWh,validated
0005171784RN098,208229290,1,13/02/2018 22:30,13/02/2018 22:59,0.827,kWh,validated
0005171784RN098,208229290,1,13/02/2018 23:00,13/02/2018 23:29,0.723,kWh,validated
0005171784RN098,208229290,1,13/02/2018 23:30,13/02/2018 23:59,0.277,kWh,validated
0005171784RN098,208229290,1,14/02/2018 00:00,14/02/2018 00:29,0.276,kWh,validated
0005171784RN098,208229290,1,14/02/2018 00:30,14/02/2018 00:59,0.208,kWh,validated
0005171784RN098,208229290,1,14/02/2018 01:00,14/02/2018 01:29,0.180,kWh,validated
0005171784RN098,208229290,1,14/02/2018 01:30,14/02/2018 01:59,0.205,kWh,validated
0005171784RN098,208229290,1,14/02/2018 02:00,14/02/2018 02:29,0.620,kWh,validated
0005171784RN098,208229290,1,14/02/2018 02:30,14/02/2018 02:59,0.179,kWh,validated
0005171784RN098,208229290,1,14/02/2018 03:00,14/02/2018 03:29,0.147,kWh,validated
0005171784RN098,208229290,1,14/02/2018 03:30,14/02/2018 03:59,0.113,kWh,validated
0005171784RN098,208229290,1,14/02/2018 04:00,14/02/2018 04:29,0.184,kWh,validated
0005171784RN098,208229290,1,14/02/2018 04:30,14/02/2018 04:59,0.193,kWh,validated
0005171784RN098,208229290,1,14/02/2018 05:00,14/02/2018 05:29,0.166,kWh,validated
0005171784RN098,208229290,1,14/02/2018 05:30,14/02/2018 05:59,0.165,kWh,validated
0005171784RN098,208229290,1,14/02/2018 06:00,14/02/2018 06:29,0.130,kWh,validated
0005171784RN098,208229290,1,14/02/2018 06:30,14/02/2018 06:59,1.089,kWh,validated
0005171784RN098,208229290,1,14/02/2018 07:00,14/02/2018 07:29,1.139,kWh,validated
0005171784RN098,208229290,1,14/02/2018 07:30,14/02/2018 07:59,0.901,kWh,validated
0005171784RN098,208229290,1,14/02/2018 08:00,14/02/2018 08:29,0.251,kWh,validated
0005171784RN098,208229290,1,14/02/2018 08:30,14/02/2018 08:59,1.067,kWh,validated
0005171784RN098,208229290,1,14/02/2018 09:00,14/02/2018 09:29,0.928,kWh,validated
0005171784RN098,208229290,1,14/02/2018 09:30,14/02/2018 09:59,0.156,kWh,validated
0005171784RN098,208229290,1,14/02/2018 10:00,14/02/2018 10:29,0.178,kWh,validated
0005171784RN098,208229290,1,14/02/2018 10:30,14/02/2018 10:59,0.177,kWh,validated
0005171784RN098,208229290,1,14/02/2018 11:00,14/02/2018 11:29,0.271,kWh,validated
0005171784RN098,208229290,1,14/02/2018 11:30,14/02/2018 11:59,1.438,kWh,validated
0005171784RN098,208229290,1,14/02/2018 12:00,14/02/2018 12:29,1.287,kWh,validated
0005171784RN098,208229290,1,14/02/2018 12:30,14/02/2018 12:59,1.276,kWh,validated
0005171784RN098,208229290,1,14/02/2018 13:00,14/02/2018 13:29,1.180,kWh,validated
0005171784RN098,208229290,1,14/02/2018 13:30,14/02/2018 13:59,0.875,kWh,validated
0005171784RN098,208229290,1,14/02/2018 14:00,14/02/2018 14:29,0.288,kWh,validated
0005171784RN098,208229290,1,14/02/2018 14:30,14/02/2018 14:59,0.246,kWh,validated
0005171784RN098,208229290,1,14/02/2018 15:00,14/02/2018 15:29,0.270,kWh,validated
0005171784RN098,208229290,1,14/02/2018 15:30,14/02/2018 15:59,0.276,kWh,validated
0005171784RN098,208229290,1,14/02/2018 16:00,14/02/2018 16:29,0.343,kWh,validated
0005171784RN098,208229290,1,14/02/2018 16:30,14/02/2018 16:59,1.590,kWh,validated
0005171784RN098,208229290,1,14/02/2018 17:00,14/02/2018 17:29,1.087,kWh,validated
0005171784RN098,208229290,1,14/02/2018 17:30,14/02/2018 17:59,0.741,kWh,validated
0005171784RN098,208229290,1,14/02/2018 18:00,14/02/2018 18:29,1.068,kWh,validated
0005171784RN098,208229290,1,14/02/2018 18:30,14/02/2018 18:59,1.247,kWh,validated
0005171784RN098,208229290,1,14/02/2018 19:00,14/02/2018 19:29,1.039,kWh,validated
0005171784RN098,208229290,1,14/02/2018 19:30,14/02/2018 19:59,0.881,kWh,validated
0005171784RN098,208229290,1,14/02/2018 20:00,14/02/2018 20:29,0.365,kWh,validated
0005171784RN098,208229290,1,14/02/2018 20:30,14/02/2018 20:59,0.358,kWh,validated
0005171784RN098,208229290,1,14/02/2018 21:00,14/02/2018 21:29,0.428,kWh,validated
0005171784RN098,208229290,1,14/02/2018 21:30,14/02/2018 21:59,0.267,kWh,validated
0005171784RN098,208229290,1,14/02/2018 22:00,14/02/2018 22:29,0.289,kWh,validated
0005171784RN098,208229290,1,14/02/2018 22:30,14/02/2018 22:59,0.761,kWh,validated
0005171784RN098,208229290,1,14/02/2018 23:00,14/02/2018 23:29,1.314,kWh,validated
0005171784RN098,208229290,1,14/02/2018 23:30,14/02/2018 23:59,1.185,kWh,validated
0005171784RN098,208229290,1,15/02/2018 00:00,15/02/2018 00:29,1.188,kWh,validated
0005171784RN098,208229290,1,15/02/2018 00:30,15/02/2018 00:59,1.212,kWh,validated
0005171784RN098,208229290,1,15/02/2018 01:00,15/02/2018 01:29,0.638,kWh,validated
0005171784RN098,208229290,1,15/02/2018 01:30,15/02/2018 01:59,0.159,kWh,validated
0005171784RN098,208229290,1,15/02/2018 02:00,15/02/2018 02:29,0.145,kWh,validated
0005171784RN098,208229290,1,15/02/2018 02:30,15/02/2018 02:59,0.166,kWh,validated
